City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Bontang,ID,79.12,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
642,Chatellerault,FR,77.72,scattered clouds,46.8,0.5333,La Gourmandine
644,Kulhudhuffushi,MV,82.17,overcast clouds,6.6221,73.07,Haajy Guest House 1
645,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
653,Miraslau,RO,76.24,broken clouds,46.3667,23.7167,Cabana Teodora
654,Zlobin,HR,78.1,few clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
657,Mazatlan,MX,86.02,broken clouds,23.2167,-106.4167,Hotel La Siesta
659,Sabang,ID,83.26,overcast clouds,5.8933,95.3214,Hotel Citra
662,Guia De Isora,ES,78.44,clear sky,28.2115,-16.7795,La Vista Pension
665,Upata,VE,78.33,overcast clouds,8.0086,-62.3989,Posada Villa Nela
670,Chernyy Yar,RU,80.31,few clouds,48.0624,46.1091,Stanitsa Chernoyarskaya
680,Stare Mesto,CZ,85.44,clear sky,50.087,14.4202,Botanique Hotel Prague
683,Lata,PT,87.08,clear sky,40.1629,-8.3327,Casa Maquia
684,Akyab,MM,82.96,overcast clouds,20.15,92.9,Hotel Memory
689,Sinnai,IT,88.25,clear sky,39.3042,9.2036,La Rosa Dei Venti Sardinya
692,Finschhafen,PG,78.6,clear sky,-6.6024,147.8681,Cossam Guest House
693,Veraval,IN,83.71,broken clouds,20.9,70.3667,Lords Inn Somnath
697,Luan,CH,79.43,clear sky,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
698,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
702,Kutum,SD,80.96,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
703,Gilgit,PK,75.85,broken clouds,35.9221,74.3087,Tourist Hamlet Gilgit
707,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
708,Ambulu,ID,76.03,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
709,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
