City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lorengau,PG,-2.0226,147.2712,80.49,78,87,7.16,overcast clouds
80,West Wendover,US,40.7391,-114.0733,78.01,24,0,5.75,clear sky
81,Mitsamiouli,KM,-11.3847,43.2844,79.18,70,43,7.05,scattered clouds
82,Bantul,ID,-7.8881,110.3289,77.54,87,100,1.92,light rain
83,Troyes,FR,48.3333,4.0833,77.05,53,75,8.05,broken clouds
84,Komsomolskiy,UZ,40.4272,71.7189,86.72,20,79,16.11,moderate rain
85,Jamestown,US,42.097,-79.2353,66.02,67,99,3.0,overcast clouds
86,Amazar,RU,53.858,120.875,55.83,97,100,3.51,light rain
87,Butaritari,KI,3.0707,172.7902,81.45,75,15,12.75,few clouds
88,Narsaq,GL,60.9167,-46.05,52.02,81,100,1.97,light rain
89,Copperas Cove,US,31.1241,-97.9031,89.29,60,0,17.27,clear sky
90,Chuy,UY,-33.6971,-53.4616,55.94,65,58,12.17,broken clouds
91,Kirakira,SB,-10.4544,161.9205,78.01,80,14,5.46,few clouds
92,Sao Filipe,CV,14.8961,-24.4956,77.14,68,6,8.23,clear sky
93,Airai,TL,-8.9266,125.4092,56.28,90,92,3.11,overcast clouds
94,Svobodnyy,RU,51.4,128.1333,63.73,65,100,6.73,overcast clouds
95,Charters Towers,AU,-20.1,146.2667,50.52,53,0,8.97,clear sky
96,Sitka,US,57.0531,-135.33,49.89,81,100,5.75,light rain
97,Shache,CN,38.4167,77.2406,83.88,19,87,8.28,overcast clouds
98,Mula,ES,38.0409,-1.4901,90.12,15,8,16.55,clear sky
99,Fort Nelson,CA,58.8053,-122.7002,49.59,76,75,0.0,broken clouds
100,Hambantota,LK,6.1241,81.1185,82.74,74,40,9.22,scattered clouds
101,Chokurdakh,RU,70.6333,147.9167,50.54,41,11,11.59,few clouds
102,Nikolskoye,RU,59.7035,30.7861,73.87,56,94,7.25,overcast clouds
103,Touros,BR,-5.1989,-35.4608,84.76,63,20,11.43,few clouds
104,Tezu,IN,27.9167,96.1667,72.52,98,100,1.86,overcast clouds
105,Provideniya,RU,64.3833,-173.3,34.52,73,28,3.8,scattered clouds
106,Yiyang,CN,28.5892,112.3283,66.74,98,100,5.88,overcast clouds
107,Salalah,OM,17.0151,54.0924,87.89,84,75,13.8,broken clouds
108,Padang,ID,-0.9492,100.3543,77.05,84,100,5.39,overcast clouds
109,Goderich,CA,43.7501,-81.7165,62.92,88,92,4.61,overcast clouds
110,Atar,MR,20.5169,-13.0499,113.76,6,1,12.48,clear sky
111,Kasongo-Lunda,CD,-6.4667,16.8167,90.21,23,15,2.46,few clouds
112,Yabelo,ET,4.8833,38.0833,66.79,56,73,10.0,broken clouds
113,Cape Town,ZA,-33.9258,18.4232,70.27,44,0,23.02,clear sky
114,Victoria,HK,22.2855,114.1577,84.38,86,100,11.01,heavy intensity rain
115,Katsuura,JP,35.1333,140.3,65.1,89,14,4.12,few clouds
116,Mehamn,NO,71.0357,27.8492,49.91,87,100,30.47,overcast clouds
117,Nadvoitsy,RU,63.8667,34.3167,60.87,80,100,9.28,overcast clouds
118,Nema,RU,57.5067,50.5011,58.53,71,75,8.84,broken clouds
119,Cabedelo,BR,-6.9811,-34.8339,84.87,71,35,9.35,scattered clouds
120,Tasiilaq,GL,65.6145,-37.6368,37.56,99,100,9.15,light rain
121,Clyde River,CA,70.4692,-68.5914,32.23,93,100,11.5,mist
122,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,73,20,13.8,few clouds
123,Carnarvon,AU,-24.8667,113.6333,69.37,73,44,12.01,scattered clouds
124,Sladkovo,RU,55.5284,70.3385,60.03,88,29,8.48,scattered clouds
125,Talnakh,RU,69.4865,88.3972,69.21,42,100,5.99,overcast clouds
126,Hobart,AU,-42.8794,147.3294,43.27,81,75,6.91,broken clouds
127,Villa Guerrero,MX,18.8667,-99.65,68.27,60,0,2.84,clear sky
128,Revelstoke,CA,50.9832,-118.2023,50.02,81,75,4.61,broken clouds
129,Paamiut,GL,61.994,-49.6678,36.72,94,100,6.6,light rain
130,Koutsouras,GR,35.0339,25.9469,80.11,61,9,4.29,clear sky
131,Abu Samrah,SY,35.3029,37.1841,79.75,34,0,26.13,clear sky
132,Yulara,AU,-25.2406,130.9889,51.89,47,0,7.2,clear sky
133,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,16.11,light intensity shower rain
134,Booue,GA,-0.0921,11.9385,85.62,62,58,3.13,broken clouds
135,Karangampel,ID,-6.4622,108.4519,80.28,78,100,1.74,overcast clouds
136,Talakan,RU,50.3167,130.3667,63.39,83,100,4.9,overcast clouds
137,Tessalit,ML,20.1986,1.0114,98.58,17,99,16.13,overcast clouds
138,Dukat,RU,62.55,155.55,30.88,95,100,4.16,overcast clouds
139,Fishers,US,39.9556,-86.0139,75.22,89,100,5.75,overcast clouds
140,Boke,GN,10.9409,-14.2967,93.06,49,50,5.32,scattered clouds
141,Iqaluit,CA,63.7506,-68.5145,38.93,69,75,11.5,broken clouds
142,Vila Velha,BR,-20.3297,-40.2925,75.15,79,75,4.61,broken clouds
143,Shieli,KZ,44.1667,66.75,83.43,27,81,9.4,broken clouds
144,Mar Del Plata,AR,-38.0023,-57.5575,56.95,54,0,1.99,clear sky
145,Ballina,AU,-28.8667,153.5667,52.18,69,100,7.87,overcast clouds
146,Anakapalle,IN,17.6833,83.0167,80.55,73,78,6.33,broken clouds
147,Campbellford,CA,44.3084,-77.7995,67.82,83,100,4.97,light rain
148,Pangnirtung,CA,66.1451,-65.7125,33.49,94,92,3.87,overcast clouds
149,Reidsville,US,36.3549,-79.6645,82.63,65,0,5.75,clear sky
150,Roebourne,AU,-20.7833,117.1333,75.2,62,57,4.79,broken clouds
151,Tucuma,BR,-0.1833,-50.05,82.6,75,24,5.64,few clouds
152,Simi,SL,9.5667,-12.35,89.55,58,65,2.1,broken clouds
153,Ponta Do Sol,PT,32.6667,-17.1,78.71,73,20,3.67,few clouds
154,Mao,ES,39.8885,4.2658,84.76,45,0,5.75,clear sky
155,Pevek,RU,69.7008,170.3133,34.54,66,36,3.49,scattered clouds
156,Atuona,PF,-9.8,-139.0333,78.22,63,84,15.5,broken clouds
157,Baoning,CN,25.3378,110.026,78.66,94,100,2.24,overcast clouds
158,Qalyub,EG,30.1792,31.2056,90.39,35,0,17.83,clear sky
159,Northview,US,43.0456,-85.6006,70.95,80,75,6.91,broken clouds
160,Hithadhoo,MV,-0.6,73.0833,83.95,70,100,5.95,overcast clouds
161,Buraydah,SA,26.326,43.975,109.85,7,0,9.19,clear sky
162,Dhenkanal,IN,20.6667,85.6,85.39,53,98,3.76,overcast clouds
163,Bohuslav,UA,49.5494,30.8744,73.56,63,51,12.8,broken clouds
164,Seabra,BR,-12.4186,-41.7703,80.02,50,85,7.4,overcast clouds
165,Poum,NC,-20.2333,164.0167,74.89,82,100,9.62,light rain
166,Seoul,KR,37.5683,126.9778,70.99,83,100,6.91,overcast clouds
167,Alofi,NU,-19.0595,-169.9187,73.29,94,45,5.75,scattered clouds
168,Avarua,CK,-21.2078,-159.775,76.84,71,100,18.77,light rain
169,Kaohsiung,TW,22.6163,120.3133,85.03,76,40,4.61,scattered clouds
170,Saiha,IN,22.4833,92.9667,71.17,97,100,2.91,overcast clouds
171,Esperance,AU,-33.8667,121.9,61.59,74,86,22.3,overcast clouds
172,Ilulissat,GL,69.2167,-51.1,35.62,75,75,14.97,broken clouds
173,Iguape,BR,-24.7081,-47.5553,63.77,41,92,6.44,overcast clouds
174,Camacha,PT,33.0833,-16.3333,67.42,68,40,12.66,scattered clouds
175,Puerto Lleras,CO,3.0223,-73.4044,68.09,99,100,4.32,overcast clouds
176,Palmer,US,42.1584,-72.3287,77.63,55,75,12.66,broken clouds
177,Northam,GB,51.0333,-4.2167,62.38,71,0,13.38,clear sky
178,Nyrob,RU,60.733,56.7202,60.6,53,27,9.6,scattered clouds
179,Weatherford,US,32.7593,-97.7972,93.47,57,1,1.99,clear sky
180,Haines Junction,CA,60.7522,-137.5108,44.55,93,100,1.14,overcast clouds
181,Moron,AR,-34.6534,-58.6198,61.81,34,0,1.36,clear sky
182,Taseyevo,RU,57.2169,94.8978,62.26,97,99,4.85,overcast clouds
183,Gaomi,CN,36.3833,119.7528,69.98,63,97,13.56,overcast clouds
184,Praya,CV,14.9215,-23.5087,82.94,57,20,19.57,few clouds
185,Orgovany,HU,46.7509,19.4726,84.24,39,5,10.09,clear sky
186,Sorland,NO,67.667,12.6934,51.66,91,96,9.22,overcast clouds
187,Vanimo,PG,-2.6741,141.3028,78.06,86,19,5.23,few clouds
188,Fortuna,US,40.5982,-124.1573,58.93,95,100,6.91,light rain
189,Baykit,RU,61.67,96.37,63.46,55,100,10.18,overcast clouds
190,Dunedin,NZ,-45.8742,170.5036,44.8,60,73,1.99,broken clouds
191,Port Elizabeth,ZA,-33.918,25.5701,79.32,22,0,13.8,clear sky
192,Grindavik,IS,63.8424,-22.4338,51.75,81,100,9.22,overcast clouds
193,Bredasdorp,ZA,-34.5322,20.0403,70.07,31,100,8.59,overcast clouds
194,Vuktyl,RU,63.8567,57.3094,59.38,32,11,12.77,few clouds
195,Kudahuvadhoo,MV,2.6708,72.8944,84.29,69,100,9.31,overcast clouds
196,Saskylakh,RU,71.9167,114.0833,62.64,40,76,11.52,broken clouds
197,Tromso,NO,69.6496,18.957,48.22,71,75,3.44,broken clouds
198,Hasaki,JP,35.7333,140.8333,59.29,77,17,7.92,few clouds
199,Batemans Bay,AU,-35.7167,150.1833,55.09,68,61,5.21,broken clouds
200,Kruisfontein,ZA,-34.0033,24.7314,74.88,20,100,22.15,overcast clouds
201,Fort Saint James,CA,54.4333,-124.25,49.03,53,55,3.06,broken clouds
202,Guerrero Negro,MX,27.9769,-114.0611,67.46,76,31,13.2,scattered clouds
203,Vodyane,UA,47.4875,34.4924,78.42,55,77,16.31,broken clouds
204,Bat Yam,IL,32.0231,34.7503,82.02,65,20,14.97,few clouds
205,Lebu,CL,-37.6167,-73.65,50.77,80,80,8.37,broken clouds
206,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,77,75,19.86,light intensity shower rain
207,Loa Janan,ID,-0.583,117.095,73.94,96,85,0.54,overcast clouds
208,Pacasmayo,PE,-7.4006,-79.5714,66.78,76,63,10.69,broken clouds
209,Tabou,CI,4.423,-7.3528,81.36,70,80,9.15,broken clouds
210,Shuyskoye,RU,59.3736,41.0305,67.21,43,41,0.56,scattered clouds
211,Uige,AO,-7.6087,15.0613,87.04,20,9,5.19,clear sky
212,Waipawa,NZ,-41.4122,175.5153,46.9,81,100,14.34,light rain
213,Ostrovnoy,RU,68.0531,39.5131,61.14,64,93,22.77,overcast clouds
214,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,78,89,7.14,light rain
215,Baculin,PH,7.4525,126.5842,78.67,85,100,4.68,overcast clouds
216,Vaini,TO,-21.2,-175.2,73.56,100,40,2.3,scattered clouds
217,Kavaratti,IN,10.5669,72.642,79.84,86,100,19.55,overcast clouds
218,Husavik,IS,66.0449,-17.3389,42.39,95,100,4.88,overcast clouds
219,Acajutla,SV,13.5928,-89.8275,81.46,76,96,6.02,overcast clouds
220,Lasa,IT,46.6166,10.7002,81.7,29,11,4.16,few clouds
221,Richards Bay,ZA,-28.783,32.0377,68.02,48,63,6.29,broken clouds
222,Copiapo,CL,-27.3667,-70.3333,46.09,22,0,4.12,clear sky
223,Chokwe,MZ,-24.5333,32.9833,69.75,49,0,4.74,clear sky
224,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,83,75,10.36,broken clouds
225,Okhotsk,RU,59.3833,143.3,41.34,92,100,5.19,overcast clouds
226,Sheltozero,RU,61.3667,35.3667,62.83,63,92,8.46,overcast clouds
227,Porto Novo,BJ,6.4965,2.6036,85.82,67,90,8.12,overcast clouds
228,Tuatapere,NZ,-46.1333,167.6833,36.88,91,21,2.62,few clouds
229,Brasilia,BR,-15.7797,-47.9297,79.63,44,40,5.75,scattered clouds
230,Kuala Terengganu,MY,5.3302,103.1408,78.75,94,20,2.3,few clouds
231,Fukue,JP,32.6881,128.8419,70.12,84,100,7.63,moderate rain
232,Ola,RU,59.5833,151.2833,41.14,94,100,3.65,light rain
233,Port Blair,IN,11.6667,92.75,82.44,78,100,8.9,overcast clouds
234,Tomatlan,MX,19.9333,-105.25,87.28,57,7,0.94,clear sky
235,Cabra,ES,37.4725,-4.4421,103.66,11,9,7.0,clear sky
236,Alacranes,CU,22.7675,-81.5675,84.69,61,1,5.21,clear sky
237,Newport,GB,51.5877,-2.9984,69.12,59,26,17.43,scattered clouds
238,Bengkulu,ID,-3.8004,102.2655,77.77,82,100,3.36,light rain
239,Kamaishi,JP,39.2667,141.8833,55.06,91,0,5.01,clear sky
240,Arrifes,PT,37.7667,-25.7,64.65,72,20,16.11,few clouds
241,Severo-Kurilsk,RU,50.6789,156.125,43.3,93,69,7.61,broken clouds
242,Namtsy,RU,62.7161,129.6658,52.59,93,100,4.54,overcast clouds
243,Tibati,CM,6.4667,12.6333,71.56,92,100,4.38,light rain
244,Urubicha,BO,-15.3833,-62.95,67.82,26,31,5.97,scattered clouds
245,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,100,10.36,fog
246,Blackwater,AU,-23.5833,148.8833,49.42,57,71,7.72,broken clouds
247,Dewa,IN,27.0333,81.1667,96.8,12,0,7.31,clear sky
248,Tiksi,RU,71.6872,128.8694,38.57,79,76,8.63,broken clouds
249,Ossora,RU,59.2353,163.0719,43.14,92,100,2.26,light rain
250,Shyroke,UA,47.6917,33.2571,80.37,46,52,8.34,broken clouds
251,Angoche,MZ,-16.2325,39.9086,73.22,77,6,9.35,light rain
252,Zhuhai,CN,22.2769,113.5678,83.98,94,40,9.22,moderate rain
253,Puerto Escondido,MX,15.85,-97.0667,85.03,65,20,3.44,few clouds
254,San Javier,ES,37.8063,-0.8374,93.58,51,0,6.91,clear sky
255,Gondanglegi,ID,-7.7479,112.0132,76.12,91,99,3.67,overcast clouds
256,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,20,23.02,few clouds
257,Ishigaki,JP,24.3448,124.1572,82.53,100,75,11.5,broken clouds
258,Mangrol,IN,21.1167,70.1167,83.44,75,61,13.15,broken clouds
259,Ivanteyevka,RU,55.9711,37.9208,77.34,41,6,7.9,clear sky
260,Langelsheim,DE,51.9333,10.3333,77.7,34,35,12.66,scattered clouds
261,Geraldton,AU,-28.7667,114.6,61.21,72,75,5.75,broken clouds
262,Lufilufi,WS,-13.8745,-171.5986,74.98,78,22,15.88,light rain
263,Sioux Lookout,CA,50.1001,-91.917,64.47,42,75,10.36,broken clouds
